accession,taxid,superkingdom,phylum,class,order,family,genus,species
NC_025903.1,366934,NA,Chordata,Actinopteri,Pleuronectiformes,Samaridae,Samaris,Samaris cristatus
NC_025902.1,274686,NA,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus hainanus
NC_025900.1,30390,NA,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea cinerea
NC_025786.1,472795,NA,Chordata,Aves,Apodiformes,Trochilidae,Chrysolampis,Chrysolampis mosquitus
NC_025785.1,57865,NA,Chordata,Actinopteri,Perciformes,Percidae,Gymnocephalus,Gymnocephalus cernua
NC_025783.1,357318,NA,Chordata,Lepidosauria,Squamata,Gekkonidae,Uroplatus,Uroplatus ebenaui
NC_025782.1,47724,NA,Chordata,Lepidosauria,Squamata,Gekkonidae,Lepidodactylus,Lepidodactylus lugubris
NC_025779.1,402375,NA,Chordata,Lepidosauria,Squamata,Gekkonidae,Uroplatus,Uroplatus fimbriatus
NC_025777.1,1300117,NA,Chordata,Mammalia,Eulipotyphla,Talpidae,Scapanulus,Scapanulus oweni
NC_025771.1,241275,NA,Chordata,Actinopteri,Labriformes,Labridae,Choerodon,Choerodon schoenleinii
NC_025770.1,1211648,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Procypris,Procypris mera
NC_025769.1,302418,NA,Chordata,Mammalia,Pholidota,Manidae,Smutsia,Smutsia temminckii
NC_025767.1,1396868,NA,Chordata,Actinopteri,Characiformes,Anostomidae,Megaleporinus,Megaleporinus piavussu
NC_025747.1,1353928,NA,Chordata,Mammalia,Rodentia,Cricetidae,Wiedomys,Wiedomys cerradensis
NC_025746.1,106112,NA,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,Akodon montensis
NC_025742.1,178893,NA,Chordata,Aves,Psittaciformes,Psittacidae,Primolius,Primolius couloni
NC_025599.1,37598,NA,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla coelebs
NC_025671.1,242820,NA,Chordata,Actinopteri,Cichliformes,Cichlidae,Andinoacara,Andinoacara rivulatus
NC_025670.1,83756,NA,Chordata,Mammalia,Rodentia,Muridae,Leopoldamys,Leopoldamys edwardsi
NC_025669.1,1569704,NA,Chordata,Actinopteri,Cichliformes,Cichlidae,Oreochromis,Oreochromis niloticus x Oreochromis aureus
NC_025666.1,44732,NA,Chordata,Lepidosauria,Squamata,Viperidae,Gloydius,Gloydius intermedius
NC_025665.1,458610,NA,Chordata,Actinopteri,Scombriformes,Centrolophidae,Seriolella,Seriolella porosa
NC_025654.1,8846,NA,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser indicus
NC_025649.1,1192867,NA,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus ridibundus
NC_025648.1,340692,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,Coregonus,Coregonus ussuriensis
NC_025646.1,143615,NA,Chordata,Actinopteri,Cypriniformes,Xenocyprididae,Ochetobius,Ochetobius elongatus
NC_025644.1,274469,NA,Chordata,Actinopteri,Carangiformes,Carangidae,Carangoides,Carangoides equula
NC_025643.1,201429,NA,Chordata,Lepidosauria,Squamata,Colubridae,Elaphe,Elaphe davidi
NC_025640.1,171645,NA,Chordata,Lepidosauria,Squamata,Agamidae,Phrynocephalus,Phrynocephalus grumgrzimailoi
NC_025639.1,171647,NA,Chordata,Lepidosauria,Squamata,Agamidae,Phrynocephalus,Phrynocephalus helioscopus
NC_025638.1,320565,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Ponticola,Ponticola kessleri
NC_025637.1,100859,NA,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus vanellus
NC_025632.1,1564187,NA,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,Triplophysa,Triplophysa robusta
NC_025630.1,64813,NA,Chordata,Aves,Passeriformes,Fringillidae,Pseudonestor,Pseudonestor xanthophrys
NC_025628.1,64806,NA,Chordata,Aves,Passeriformes,Fringillidae,Oreomystis,Oreomystis bairdi
NC_025627.1,54559,NA,Chordata,Aves,Passeriformes,Fringillidae,Spinus,Spinus psaltria
NC_025625.1,37607,NA,Chordata,Aves,Passeriformes,Fringillidae,Pyrrhula,Pyrrhula pyrrhula
